[Topology] mesh=2x2 (4 nodes), 4 cores, 0 DRAM controllers (direct, bypass NoC)
[AddressAllocator] Allocated 3729 transfer blocks, total 5059529.32 MB (alignment=64B)
[Simulator] Loaded IR: 2x2 cores, top_batch_cut=1
[Simulator] Total workloads: 1725, DRAM reads: 376, DRAM writes: 861
[BookSim2NoC] Initialized 2x2 mesh (4 nodes), 8 VCs, 1 subnets (from inline config)
[Ramulator2DRAM] Initialized from inline config (HBM HBM_2Gbps), yaml_clock_ratio=1, sim_clock_ratio=1.00, channels=4, cache_line=64B
[Simulator] Starting simulation...
[Simulator] Cycle 12100000, cores done: 0/4, workloads completed: 180/1725 (10.4%)
[Simulator] Cycle 12200000, cores done: 0/4, workloads completed: 180/1725 (10.4%)
[Simulator] Cycle 12300000, cores done: 0/4, workloads completed: 182/1725 (10.6%)
[Simulator] Cycle 12400000, cores done: 0/4, workloads completed: 184/1725 (10.7%)
[Simulator] Cycle 12500000, cores done: 0/4, workloads completed: 184/1725 (10.7%)
[Simulator] Cycle 12600000, cores done: 0/4, workloads completed: 184/1725 (10.7%)
[Simulator] Cycle 12700000, cores done: 0/4, workloads completed: 186/1725 (10.8%)
[Simulator] Cycle 12800000, cores done: 0/4, workloads completed: 187/1725 (10.8%)
[Simulator] Cycle 12900000, cores done: 0/4, workloads completed: 188/1725 (10.9%)
[Simulator] Cycle 13000000, cores done: 0/4, workloads completed: 188/1725 (10.9%)
[Simulator] Cycle 13100000, cores done: 0/4, workloads completed: 189/1725 (11.0%)
[Simulator] Cycle 13200000, cores done: 0/4, workloads completed: 191/1725 (11.1%)
[Simulator] Cycle 13300000, cores done: 0/4, workloads completed: 192/1725 (11.1%)
[Simulator] Cycle 13400000, cores done: 0/4, workloads completed: 192/1725 (11.1%)
[Simulator] Cycle 13500000, cores done: 0/4, workloads completed: 193/1725 (11.2%)
[Simulator] Cycle 13600000, cores done: 0/4, workloads completed: 193/1725 (11.2%)
[Simulator] Cycle 13700000, cores done: 0/4, workloads completed: 194/1725 (11.2%)
[Simulator] Cycle 13800000, cores done: 0/4, workloads completed: 194/1725 (11.2%)
[Simulator] Cycle 13900000, cores done: 0/4, workloads completed: 194/1725 (11.2%)
[Simulator] Cycle 14000000, cores done: 0/4, workloads completed: 194/1725 (11.2%)
[Simulator] Cycle 14100000, cores done: 0/4, workloads completed: 195/1725 (11.3%)
[Simulator] Cycle 14200000, cores done: 0/4, workloads completed: 195/1725 (11.3%)
[Simulator] Cycle 14300000, cores done: 0/4, workloads completed: 196/1725 (11.4%)
[Simulator] Cycle 14400000, cores done: 0/4, workloads completed: 197/1725 (11.4%)
[Simulator] Cycle 14500000, cores done: 0/4, workloads completed: 197/1725 (11.4%)
[Simulator] Cycle 14600000, cores done: 0/4, workloads completed: 197/1725 (11.4%)
[Simulator] Cycle 14700000, cores done: 0/4, workloads completed: 197/1725 (11.4%)
[Simulator] Cycle 14800000, cores done: 0/4, workloads completed: 198/1725 (11.5%)
[Simulator] Cycle 14900000, cores done: 0/4, workloads completed: 198/1725 (11.5%)
[Simulator] Cycle 15000000, cores done: 0/4, workloads completed: 199/1725 (11.5%)
[Simulator] Cycle 15100000, cores done: 0/4, workloads completed: 199/1725 (11.5%)
[Simulator] Cycle 15200000, cores done: 0/4, workloads completed: 199/1725 (11.5%)
[Simulator] Cycle 15300000, cores done: 0/4, workloads completed: 200/1725 (11.6%)
[Simulator] Cycle 15400000, cores done: 0/4, workloads completed: 201/1725 (11.7%)
[Simulator] Cycle 15500000, cores done: 0/4, workloads completed: 201/1725 (11.7%)
[Simulator] Cycle 15600000, cores done: 0/4, workloads completed: 201/1725 (11.7%)
[Simulator] Cycle 15700000, cores done: 0/4, workloads completed: 201/1725 (11.7%)
[Simulator] Cycle 15800000, cores done: 0/4, workloads completed: 202/1725 (11.7%)
[Simulator] Cycle 15900000, cores done: 0/4, workloads completed: 203/1725 (11.8%)
[Simulator] Cycle 16000000, cores done: 0/4, workloads completed: 204/1725 (11.8%)
[Simulator] Cycle 16100000, cores done: 0/4, workloads completed: 204/1725 (11.8%)
[Simulator] Cycle 16200000, cores done: 0/4, workloads completed: 205/1725 (11.9%)
[Simulator] Cycle 16300000, cores done: 0/4, workloads completed: 205/1725 (11.9%)
[Simulator] Cycle 16400000, cores done: 0/4, workloads completed: 206/1725 (11.9%)
[Simulator] Cycle 16500000, cores done: 0/4, workloads completed: 207/1725 (12.0%)
[Simulator] Cycle 16600000, cores done: 0/4, workloads completed: 207/1725 (12.0%)
[Simulator] Cycle 16700000, cores done: 0/4, workloads completed: 208/1725 (12.1%)
[Simulator] Cycle 16800000, cores done: 0/4, workloads completed: 208/1725 (12.1%)
[Simulator] Cycle 16900000, cores done: 0/4, workloads completed: 209/1725 (12.1%)
[Simulator] Cycle 17000000, cores done: 0/4, workloads completed: 209/1725 (12.1%)
[Simulator] Cycle 17100000, cores done: 0/4, workloads completed: 210/1725 (12.2%)
[Simulator] Cycle 17200000, cores done: 0/4, workloads completed: 210/1725 (12.2%)
[Simulator] Cycle 17300000, cores done: 0/4, workloads completed: 211/1725 (12.2%)
[Simulator] Cycle 17400000, cores done: 0/4, workloads completed: 212/1725 (12.3%)
[Simulator] Cycle 17500000, cores done: 0/4, workloads completed: 213/1725 (12.3%)
[Simulator] Cycle 17600000, cores done: 0/4, workloads completed: 213/1725 (12.3%)
[Simulator] Cycle 17700000, cores done: 0/4, workloads completed: 214/1725 (12.4%)
[Simulator] Cycle 17800000, cores done: 0/4, workloads completed: 214/1725 (12.4%)
[Simulator] Cycle 17900000, cores done: 0/4, workloads completed: 214/1725 (12.4%)
[Simulator] Cycle 18000000, cores done: 0/4, workloads completed: 214/1725 (12.4%)
[Simulator] Cycle 18100000, cores done: 0/4, workloads completed: 214/1725 (12.4%)
[Simulator] Cycle 18200000, cores done: 0/4, workloads completed: 214/1725 (12.4%)
[Deadlock] Cycle detected at cycle 18200000: C2 -> C3 -> C2
[Deadlock] Force-advancing core 2 (workload 48, completed 48)
[Simulator] Cycle 18300000, cores done: 0/4, workloads completed: 215/1725 (12.5%)
[Simulator] Cycle 18400000, cores done: 0/4, workloads completed: 216/1725 (12.5%)
[Simulator] Cycle 18500000, cores done: 0/4, workloads completed: 216/1725 (12.5%)
[Simulator] Cycle 18600000, cores done: 0/4, workloads completed: 216/1725 (12.5%)
[Simulator] Cycle 18700000, cores done: 0/4, workloads completed: 217/1725 (12.6%)
[Simulator] Cycle 18800000, cores done: 0/4, workloads completed: 217/1725 (12.6%)
[Simulator] Cycle 18900000, cores done: 0/4, workloads completed: 217/1725 (12.6%)
[Simulator] Cycle 19000000, cores done: 0/4, workloads completed: 217/1725 (12.6%)
[Simulator] Cycle 19100000, cores done: 0/4, workloads completed: 217/1725 (12.6%)
[Simulator] Cycle 19200000, cores done: 0/4, workloads completed: 217/1725 (12.6%)
[Deadlock] Cycle detected at cycle 19200000: C2 -> C3 -> C2
[Deadlock] Force-advancing core 2 (workload 49, completed 49)
[Simulator] Cycle 19300000, cores done: 0/4, workloads completed: 218/1725 (12.6%)
[Simulator] Cycle 19400000, cores done: 0/4, workloads completed: 219/1725 (12.7%)
[Simulator] Cycle 19500000, cores done: 0/4, workloads completed: 219/1725 (12.7%)
[Simulator] Cycle 19600000, cores done: 0/4, workloads completed: 219/1725 (12.7%)
[Simulator] Cycle 19700000, cores done: 0/4, workloads completed: 220/1725 (12.8%)
[Simulator] Cycle 19800000, cores done: 0/4, workloads completed: 220/1725 (12.8%)
[Simulator] Cycle 19900000, cores done: 0/4, workloads completed: 220/1725 (12.8%)
[Simulator] Cycle 20000000, cores done: 0/4, workloads completed: 220/1725 (12.8%)
[Simulator] Cycle 20100000, cores done: 0/4, workloads completed: 220/1725 (12.8%)
