cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
6778,0,LOADING,COMPUTING,7,pool1,"compute_cycles=784,loading_dram_cycles=379,loading_core_cycles=0"
6829,2,WRITEBACK,IDLE,7,pool1,"writeback_complete"
6830,2,IDLE,LOADING,7,pool1,"waiting_for=[t37(DRAM,200704B),t46(DRAM,100352B)]"
7002,3,COMPUTING,WRITEBACK,6,pool1,"writeback_to_dram"
7025,1,LOADING,COMPUTING,7,pool1,"compute_cycles=784,loading_dram_cycles=374,loading_core_cycles=0"
7071,3,WRITEBACK,IDLE,7,pool1,"writeback_complete"
7072,3,IDLE,LOADING,7,pool1,"waiting_for=[t38(DRAM,204288B),t43(DRAM,100352B)]"
7204,2,LOADING,COMPUTING,7,pool1,"compute_cycles=784,loading_dram_cycles=374,loading_core_cycles=0"
7451,3,LOADING,COMPUTING,7,pool1,"compute_cycles=784,loading_dram_cycles=379,loading_core_cycles=0"
7562,0,COMPUTING,WRITEBACK,7,pool1,"writeback_to_dram"
7631,0,WRITEBACK,IDLE,8,conv_2_0_a,"writeback_complete"
7632,0,IDLE,LOADING,8,conv_2_0_a,"waiting_for=[t42(DRAM,2048B),t43(DRAM,100352B),t50(DRAM,100352B)]"
7809,1,COMPUTING,WRITEBACK,7,pool1,"writeback_to_dram"
7869,0,LOADING,COMPUTING,8,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=237,loading_core_cycles=0"
7870,0,COMPUTING,WRITEBACK,8,conv_2_0_a,"writeback_to_dram"
7878,1,WRITEBACK,IDLE,8,conv_2_0_a,"writeback_complete"
7879,1,IDLE,LOADING,8,conv_2_0_a,"waiting_for=[t49(DRAM,2048B),t46(DRAM,100352B),t53(DRAM,100352B)]"
7978,0,WRITEBACK,IDLE,9,conv_2_0_a,"writeback_complete"
7979,0,IDLE,LOADING,9,conv_2_0_a,"waiting_for=[t42(DRAM,2048B),t50(DRAM,100352B),t56(DRAM,100352B)]"
7988,2,COMPUTING,WRITEBACK,7,pool1,"writeback_to_dram"
8078,2,WRITEBACK,IDLE,8,conv_2_0_a,"writeback_complete"
8079,2,IDLE,LOADING,8,conv_2_0_a,"waiting_for=[t42(DRAM,2048B),t46(DRAM,100352B),t53(DRAM,100352B)]"
8116,1,LOADING,COMPUTING,8,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=237,loading_core_cycles=0"
8117,1,COMPUTING,WRITEBACK,8,conv_2_0_a,"writeback_to_dram"
8186,1,WRITEBACK,IDLE,9,conv_2_0_a,"writeback_complete"
8187,1,IDLE,LOADING,9,conv_2_0_a,"waiting_for=[t49(DRAM,2048B),t53(DRAM,100352B),t59(DRAM,100352B)]"
8216,0,LOADING,COMPUTING,9,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=237,loading_core_cycles=0"
8217,0,COMPUTING,WRITEBACK,9,conv_2_0_a,"writeback_to_dram"
8235,3,COMPUTING,WRITEBACK,7,pool1,"writeback_to_dram"
8286,0,WRITEBACK,IDLE,10,conv_2_0_a,"writeback_complete"
8287,0,IDLE,LOADING,10,conv_2_0_a,"waiting_for=[t42(DRAM,2048B),t56(DRAM,100352B),t62(DRAM,100352B)]"
8305,3,WRITEBACK,IDLE,8,conv_2_0_a,"writeback_complete"
8306,3,IDLE,LOADING,8,conv_2_0_a,"waiting_for=[t49(DRAM,2048B),t43(DRAM,100352B),t50(DRAM,100352B)]"
8316,2,LOADING,COMPUTING,8,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=237,loading_core_cycles=0"
8317,2,COMPUTING,WRITEBACK,8,conv_2_0_a,"writeback_to_dram"
8424,1,LOADING,COMPUTING,9,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=237,loading_core_cycles=0"
8425,1,COMPUTING,WRITEBACK,9,conv_2_0_a,"writeback_to_dram"
8484,2,WRITEBACK,IDLE,9,conv_2_0_a,"writeback_complete"
8485,2,IDLE,LOADING,9,conv_2_0_a,"waiting_for=[t42(DRAM,2048B),t53(DRAM,100352B),t59(DRAM,100352B)]"
8504,1,WRITEBACK,IDLE,10,conv_2_0_a,"writeback_complete"
8505,1,IDLE,LOADING,10,conv_2_0_a,"waiting_for=[t49(DRAM,2048B),t59(DRAM,100352B),t65(DRAM,100352B)]"
8542,0,LOADING,COMPUTING,10,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=255,loading_core_cycles=0"
8543,0,COMPUTING,WRITEBACK,10,conv_2_0_a,"writeback_to_dram"
8622,3,LOADING,COMPUTING,8,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=316,loading_core_cycles=0"
8623,3,COMPUTING,WRITEBACK,8,conv_2_0_a,"writeback_to_dram"
8682,0,WRITEBACK,IDLE,11,conv_2_0_a,"writeback_complete"
8683,0,IDLE,LOADING,11,conv_2_0_a,"waiting_for=[t42(DRAM,2048B),t62(DRAM,100352B),t69(DRAM,103936B)]"
8702,3,WRITEBACK,IDLE,9,conv_2_0_a,"writeback_complete"
8703,3,IDLE,LOADING,9,conv_2_0_a,"waiting_for=[t49(DRAM,2048B),t50(DRAM,100352B),t56(DRAM,100352B)]"
8741,2,LOADING,COMPUTING,9,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=256,loading_core_cycles=0"
8742,2,COMPUTING,WRITEBACK,9,conv_2_0_a,"writeback_to_dram"
8820,1,LOADING,COMPUTING,10,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=315,loading_core_cycles=0"
8821,1,COMPUTING,WRITEBACK,10,conv_2_0_a,"writeback_to_dram"
8882,2,WRITEBACK,IDLE,10,conv_2_0_a,"writeback_complete"
8883,2,IDLE,LOADING,10,conv_2_0_a,"waiting_for=[t42(DRAM,2048B),t59(DRAM,100352B),t65(DRAM,100352B)]"
8902,1,WRITEBACK,IDLE,11,conv_2_0_a,"writeback_complete"
8903,1,IDLE,LOADING,11,conv_2_0_a,"waiting_for=[t49(DRAM,2048B),t65(DRAM,100352B),t74(DRAM,103936B)]"
8943,0,LOADING,COMPUTING,11,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=260,loading_core_cycles=0"
8944,0,COMPUTING,WRITEBACK,11,conv_2_0_a,"writeback_to_dram"
9019,3,LOADING,COMPUTING,9,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=316,loading_core_cycles=0"
9020,3,COMPUTING,WRITEBACK,9,conv_2_0_a,"writeback_to_dram"
9082,0,WRITEBACK,IDLE,12,conv_2_0_b,"writeback_complete"
9083,0,IDLE,LOADING,12,conv_2_0_b,"waiting_for=[t68(DRAM,18432B),t69(DRAM,103936B),t76(DRAM,103936B)]"
9102,3,WRITEBACK,IDLE,10,conv_2_0_a,"writeback_complete"
9103,3,IDLE,LOADING,10,conv_2_0_a,"waiting_for=[t49(DRAM,2048B),t56(DRAM,100352B),t62(DRAM,100352B)]"
9138,2,LOADING,COMPUTING,10,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=255,loading_core_cycles=0"
9139,2,COMPUTING,WRITEBACK,10,conv_2_0_a,"writeback_to_dram"
9221,1,LOADING,COMPUTING,11,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=318,loading_core_cycles=0"
9222,1,COMPUTING,WRITEBACK,11,conv_2_0_a,"writeback_to_dram"
9289,2,WRITEBACK,IDLE,11,conv_2_0_a,"writeback_complete"
9290,2,IDLE,LOADING,11,conv_2_0_a,"waiting_for=[t42(DRAM,2048B),t65(DRAM,100352B),t74(DRAM,103936B)]"
9309,1,WRITEBACK,IDLE,12,conv_2_0_b,"writeback_complete"
9310,1,IDLE,LOADING,12,conv_2_0_b,"waiting_for=[t75(DRAM,18432B),t74(DRAM,103936B),t81(DRAM,103936B)]"
9353,0,LOADING,COMPUTING,12,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=270,loading_core_cycles=0"
