cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
2962,11,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=567,loading_core_cycles=0"
2963,11,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2967,0,WRITEBACK,IDLE,4,pool1,"writeback_complete"
2968,0,IDLE,LOADING,4,pool1,"waiting_for=[t20(DRAM,51984B),t52(DRAM,51984B)]"
2987,1,WRITEBACK,IDLE,4,pool1,"writeback_complete"
2988,1,IDLE,LOADING,4,pool1,"waiting_for=[t35(DRAM,50176B),t67(DRAM,50176B)]"
3006,2,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3007,2,IDLE,LOADING,4,pool1,"waiting_for=[t36(DRAM,51984B),t68(DRAM,51984B)]"
3026,3,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3027,3,IDLE,LOADING,4,pool1,"waiting_for=[t51(DRAM,50176B),t83(DRAM,50176B)]"
3045,4,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3046,4,IDLE,LOADING,4,pool1,"waiting_for=[t25(DRAM,51072B),t57(DRAM,51072B)]"
3065,5,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3066,5,IDLE,LOADING,4,pool1,"waiting_for=[t34(DRAM,51072B),t66(DRAM,51072B)]"
3085,6,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3086,6,IDLE,LOADING,4,pool1,"waiting_for=[t41(DRAM,51072B),t73(DRAM,51072B)]"
3135,12,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=647,loading_core_cycles=0"
3136,12,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
3142,7,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3143,7,IDLE,LOADING,4,pool1,"waiting_for=[t50(DRAM,51072B),t82(DRAM,51072B)]"
3161,8,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3162,8,IDLE,LOADING,4,pool1,"waiting_for=[t26(DRAM,51072B),t58(DRAM,51072B)]"
3214,13,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=415,loading_core_cycles=0"
3215,13,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
3217,9,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3218,9,IDLE,LOADING,4,pool1,"waiting_for=[t33(DRAM,51072B),t65(DRAM,51072B)]"
3267,14,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=374,loading_core_cycles=0"
