cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
233912,2,LOADING,COMPUTING,250,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=555,loading_core_cycles=0"
233913,2,COMPUTING,WRITEBACK,250,conv_5_1_a,"writeback_to_dram"
233963,3,LOADING,COMPUTING,247,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=160,loading_core_cycles=0"
234119,2,WRITEBACK,IDLE,251,conv_5_1_a,"writeback_complete"
234120,2,IDLE,LOADING,251,conv_5_1_a,"waiting_for=[t1908(DRAM,262144B),t1921(DRAM,100352B),t1927(DRAM,25088B)]"
234355,3,COMPUTING,WRITEBACK,247,conv_5_0_res,"writeback_to_dram"
234390,3,WRITEBACK,IDLE,248,conv_5_1_a,"writeback_complete"
234391,3,IDLE,LOADING,248,conv_5_1_a,"waiting_for=[t1909(DRAM,262144B),t1903(DRAM,100352B),t1911(DRAM,100352B)]"
234399,0,LOADING,COMPUTING,253,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=857,loading_core_cycles=0"
234400,0,COMPUTING,WRITEBACK,253,conv_5_1_b,"writeback_to_dram"
234575,0,WRITEBACK,IDLE,254,conv_5_1_b,"writeback_complete"
234576,0,IDLE,LOADING,254,conv_5_1_b,"waiting_for=[t1926(DRAM,589824B),t1940(DRAM,25088B),t1945(DRAM,25088B)]"
234603,2,LOADING,COMPUTING,251,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=483,loading_core_cycles=0"
234604,2,COMPUTING,WRITEBACK,251,conv_5_1_a,"writeback_to_dram"
234722,1,LOADING,COMPUTING,253,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=856,loading_core_cycles=0"
234723,1,COMPUTING,WRITEBACK,253,conv_5_1_b,"writeback_to_dram"
234829,2,WRITEBACK,IDLE,252,conv_5_1_b,"writeback_complete"
234830,2,IDLE,LOADING,252,conv_5_1_b,"waiting_for=[t1932(DRAM,589824B),t1927(DRAM,25088B),t1935(DRAM,25088B)]"
234831,1,WRITEBACK,IDLE,254,conv_5_1_b,"writeback_complete"
234832,1,IDLE,LOADING,254,conv_5_1_b,"waiting_for=[t1934(DRAM,589824B),t1940(DRAM,25088B),t1945(DRAM,25088B)]"
234946,3,LOADING,COMPUTING,248,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=555,loading_core_cycles=0"
234947,3,COMPUTING,WRITEBACK,248,conv_5_1_a,"writeback_to_dram"
235335,3,WRITEBACK,IDLE,249,conv_5_1_a,"writeback_complete"
235336,3,IDLE,LOADING,249,conv_5_1_a,"waiting_for=[t1909(DRAM,262144B),t1911(DRAM,100352B),t1916(DRAM,100352B)]"
235432,0,LOADING,COMPUTING,254,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=856,loading_core_cycles=0"
235433,0,COMPUTING,WRITEBACK,254,conv_5_1_b,"writeback_to_dram"
235521,0,WRITEBACK,IDLE,255,conv_5_1_b,"writeback_complete"
235522,0,IDLE,LOADING,255,conv_5_1_b,"waiting_for=[t1926(DRAM,589824B),t1945(DRAM,25088B),t1951(DRAM,25088B)]"
235688,2,LOADING,COMPUTING,252,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=858,loading_core_cycles=0"
235689,2,COMPUTING,WRITEBACK,252,conv_5_1_b,"writeback_to_dram"
235775,2,WRITEBACK,IDLE,253,conv_5_1_b,"writeback_complete"
235776,2,IDLE,LOADING,253,conv_5_1_b,"waiting_for=[t1932(DRAM,589824B),t1935(DRAM,25088B),t1940(DRAM,25088B)]"
235892,3,LOADING,COMPUTING,249,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=556,loading_core_cycles=0"
235893,3,COMPUTING,WRITEBACK,249,conv_5_1_a,"writeback_to_dram"
235938,1,LOADING,COMPUTING,254,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=1106,loading_core_cycles=0"
235939,1,COMPUTING,WRITEBACK,254,conv_5_1_b,"writeback_to_dram"
236029,3,WRITEBACK,IDLE,250,conv_5_1_a,"writeback_complete"
236030,3,IDLE,LOADING,250,conv_5_1_a,"waiting_for=[t1909(DRAM,262144B),t1916(DRAM,100352B),t1921(DRAM,100352B)]"
236031,1,WRITEBACK,IDLE,255,conv_5_1_b,"writeback_complete"
236032,1,IDLE,LOADING,255,conv_5_1_b,"waiting_for=[t1934(DRAM,589824B),t1945(DRAM,25088B),t1951(DRAM,25088B)]"
236379,0,LOADING,COMPUTING,255,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=857,loading_core_cycles=0"
236380,0,COMPUTING,WRITEBACK,255,conv_5_1_b,"writeback_to_dram"
236466,0,WRITEBACK,IDLE,256,conv_5_1_c,"writeback_complete"
236467,0,IDLE,LOADING,256,conv_5_1_c,"waiting_for=[t1950(DRAM,262144B),t1951(DRAM,25088B),t1959(DRAM,25088B)]"
236587,3,LOADING,COMPUTING,250,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=557,loading_core_cycles=0"
236588,3,COMPUTING,WRITEBACK,250,conv_5_1_a,"writeback_to_dram"
236598,3,WRITEBACK,IDLE,251,conv_5_1_a,"writeback_complete"
236599,3,IDLE,LOADING,251,conv_5_1_a,"waiting_for=[t1909(DRAM,262144B),t1921(DRAM,100352B),t1927(DRAM,25088B)]"
236633,2,LOADING,COMPUTING,253,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=857,loading_core_cycles=0"
236634,2,COMPUTING,WRITEBACK,253,conv_5_1_b,"writeback_to_dram"
236754,2,WRITEBACK,IDLE,254,conv_5_1_b,"writeback_complete"
236755,2,IDLE,LOADING,254,conv_5_1_b,"waiting_for=[t1932(DRAM,589824B),t1940(DRAM,25088B),t1945(DRAM,25088B)]"
236875,0,LOADING,COMPUTING,256,conv_5_1_c,"compute_cycles=0,loading_dram_cycles=408,loading_core_cycles=0"
236876,0,COMPUTING,WRITEBACK,256,conv_5_1_c,"writeback_to_dram"
237015,0,WRITEBACK,IDLE,257,conv_5_1_c,"writeback_complete"
237016,0,IDLE,LOADING,257,conv_5_1_c,"waiting_for=[t1950(DRAM,262144B),t1959(DRAM,25088B),t1964(DRAM,25088B)]"
237069,1,LOADING,COMPUTING,255,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=1037,loading_core_cycles=0"
237070,1,COMPUTING,WRITEBACK,255,conv_5_1_b,"writeback_to_dram"
237082,3,LOADING,COMPUTING,251,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=483,loading_core_cycles=0"
237083,3,COMPUTING,WRITEBACK,251,conv_5_1_a,"writeback_to_dram"
237141,1,WRITEBACK,IDLE,256,conv_5_1_c,"writeback_complete"
